UserID,Channel2,RecordDate2,Duration 2
892644,Boomerang,3/21/2016 7:49,2026-07-30T00:04:54.000Z
925955,ICC Cricket World Cup 2011,3/30/2016 8:40,2026-07-30T00:06:00.000Z
771823,Channel O,2/6/2016 11:10,2026-07-30T00:01:15.000Z
853642,E! Entertainment,3/6/2016 21:22,2026-07-30T00:00:00.000Z
904101,Trace TV,3/28/2016 20:22,2026-07-30T00:01:06.000Z
904101,E! Entertainment,3/24/2016 22:59,2026-07-30T00:00:00.000Z
904101,Africa Magic,3/26/2016 13:21,2026-07-30T00:01:23.000Z
831732,Trace TV,3/3/2016 11:22,2026-07-30T00:10:45.000Z
831732,Cartoon Network,3/8/2016 17:51,2026-07-30T00:01:23.000Z
831732,ICC Cricket World Cup 2011,3/15/2016 22:32,2026-07-30T00:00:20.000Z
1106137,E! Entertainment,1/8/2016 21:02,2026-07-30T00:02:32.000Z
1106137,Cartoon Network,1/8/2016 21:13,2026-07-30T00:00:00.000Z
865372,Boomerang,3/28/2016 6:07,2026-07-30T00:01:03.000Z
865372,Boomerang,3/27/2016 5:10,2026-07-30T00:07:27.000Z
2255518,Supersport Live Events,2/5/2016 10:14,2026-07-30T00:01:06.000Z
2255518,CNN,2/26/2016 13:14,2026-07-30T00:00:36.000Z
2255518,Break in transmission,2/15/2016 5:24,2026-07-30T00:00:21.000Z
2255518,ICC Cricket World Cup 2011,2/24/2016 9:54,2026-07-30T00:00:00.000Z
2255518,Supersport Live Events,1/12/2016 15:23,2026-07-30T00:01:02.000Z
2255518,Supersport Live Events,1/28/2016 9:45,2026-07-30T00:02:06.000Z
2255518,Channel O,1/3/2016 14:58,2026-07-30T00:00:00.000Z
779410,Cartoon Network,1/21/2016 17:19,2026-07-30T00:04:11.000Z
779410,Trace TV,2/3/2016 12:04,2026-07-30T00:02:36.000Z
771830,Trace TV,1/1/2016 14:43,2026-07-30T00:00:30.000Z
507286,Trace TV,1/2/2016 15:59,2026-07-30T01:28:33.000Z
507286,Cartoon Network,1/4/2016 17:01,2026-07-30T00:00:02.000Z
507286,Boomerang,1/4/2016 7:31,2026-07-30T00:05:36.000Z
507286,Cartoon Network,1/4/2016 10:21,2026-07-30T00:03:45.000Z
507286,CNN,1/1/2016 5:32,2026-07-30T00:00:04.000Z
507286,Boomerang,1/3/2016 15:00,2026-07-30T00:49:11.000Z
1293309,ICC Cricket World Cup 2011,3/23/2016 11:03,2026-07-30T00:00:00.000Z
939619,M-Net,3/13/2016 10:57,2026-07-30T00:00:21.000Z
939619,SuperSport Blitz,3/13/2016 8:55,2026-07-30T00:01:08.000Z
988056,E! Entertainment,3/31/2016 17:35,2026-07-30T00:00:00.000Z
18031,Supersport Live Events,1/28/2016 18:49,2026-07-30T00:00:42.000Z
18031,CNN,1/6/2016 23:00,2026-07-30T00:24:51.000Z
808958,SuperSport Blitz,2/21/2016 17:13,2026-07-30T00:08:36.000Z
808958,Trace TV,2/20/2016 13:26,2026-07-30T00:00:39.000Z
808958,Channel O,2/20/2016 17:14,2026-07-30T00:00:27.000Z
808958,Boomerang,3/2/2016 9:10,2026-07-30T00:09:10.000Z
808958,Cartoon Network,2/21/2016 13:56,2026-07-30T00:17:16.000Z
808958,Trace TV,2/24/2016 18:21,2026-07-30T00:14:51.000Z
808958,Cartoon Network,2/24/2016 10:38,2026-07-30T00:00:12.000Z
808958,Boomerang,3/1/2016 18:49,2026-07-30T00:00:40.000Z
840343,Trace TV,3/5/2016 18:37,2026-07-30T00:05:18.000Z
1106156,SuperSport Blitz,3/31/2016 20:16,2026-07-30T00:05:06.000Z
793616,CNN,1/25/2016 4:11,2026-07-30T00:00:02.000Z
793616,Africa Magic,1/24/2016 14:16,2026-07-30T00:03:35.000Z
939622,Boomerang,3/27/2016 23:23,2026-07-30T00:00:04.000Z
939622,kykNET,3/28/2016 13:14,2026-07-30T00:02:06.000Z
939622,CNN,3/30/2016 13:29,2026-07-30T00:00:19.000Z
868925,SuperSport Blitz,3/8/2016 10:27,2026-07-30T00:00:20.000Z
764342,SuperSport Blitz,2/2/2016 6:11,2026-07-30T00:03:48.000Z
808961,Boomerang,2/20/2016 1:51,2026-07-30T00:24:00.000Z
808961,Boomerang,2/22/2016 16:24,2026-07-30T00:06:59.000Z
853655,SawSee,2/16/2016 15:45,2026-07-30T00:00:00.000Z
939624,Trace TV,3/22/2016 18:50,2026-07-30T00:01:21.000Z
939624,Vuzu,3/20/2016 10:36,2026-07-30T00:00:53.000Z
939624,Vuzu,3/20/2016 10:44,2026-07-30T00:02:09.000Z
939624,Boomerang,3/31/2016 21:12,2026-07-30T00:00:00.000Z
939624,Trace TV,3/31/2016 21:22,2026-07-30T00:59:00.000Z
939624,Vuzu,3/16/2016 17:07,2026-07-30T00:00:15.000Z
2203312,Vuzu,3/31/2016 20:46,2026-07-30T00:00:23.000Z
808965,SuperSport Blitz,2/18/2016 8:55,2026-07-30T00:00:10.000Z
808965,Supersport Live Events,2/15/2016 19:55,2026-07-30T00:00:30.000Z
808965,ICC Cricket World Cup 2011,2/24/2016 12:14,2026-07-30T00:04:04.000Z
808965,Supersport Live Events,2/18/2016 6:44,2026-07-30T00:01:00.000Z
808965,Supersport Live Events,2/6/2016 6:42,2026-07-30T00:02:12.000Z
808965,ICC Cricket World Cup 2011,3/6/2016 9:16,2026-07-30T00:19:10.000Z
808965,E! Entertainment,2/9/2016 18:54,2026-07-30T00:01:12.000Z
788672,Boomerang,2/11/2016 19:21,2026-07-30T00:00:19.000Z
788672,Africa Magic,1/19/2016 15:29,2026-07-30T00:00:24.000Z
808966,Supersport Live Events,3/13/2016 10:06,2026-07-30T00:00:38.000Z
808966,Supersport Live Events,3/13/2016 16:22,2026-07-30T00:10:02.000Z
808966,Supersport Live Events,1/19/2016 20:29,2026-07-30T00:34:06.000Z
808966,ICC Cricket World Cup 2011,3/23/2016 8:40,2026-07-30T01:16:40.000Z
808966,Boomerang,3/19/2016 20:17,2026-07-30T00:37:25.000Z
808966,Africa Magic,1/27/2016 19:25,2026-07-30T00:00:23.000Z
808966,Africa Magic,3/20/2016 13:54,2026-07-30T00:00:53.000Z
808966,Supersport Live Events,3/20/2016 20:18,2026-07-30T00:00:00.000Z
808966,Supersport Live Events,3/20/2016 14:40,2026-07-30T00:00:00.000Z
808966,SuperSport Blitz,2/23/2016 4:06,2026-07-30T01:48:38.000Z
808966,SuperSport Blitz,3/24/2016 4:14,2026-07-30T00:00:00.000Z
633678,Channel O,2/11/2016 19:05,2026-07-30T00:00:00.000Z
786099,E! Entertainment,2/9/2016 14:10,2026-07-30T00:00:48.000Z
808969,Supersport Live Events,3/3/2016 8:06,2026-07-30T00:00:42.000Z
808969,Trace TV,3/8/2016 10:47,2026-07-30T00:02:03.000Z
808969,Supersport Live Events,1/12/2016 19:58,2026-07-30T00:55:44.000Z
808969,Trace TV,1/13/2016 16:40,2026-07-30T00:01:24.000Z
808969,Cartoon Network,1/11/2016 20:00,2026-07-30T00:00:32.000Z
